, Open, High, Low, Close, Volume
04/07/22, 350.7967, 358.8633, 340.5133, 352.42, 79447047.6960356
04/06/22, 357.8233, 359.6667, 342.5667, 348.5867, 89348541.4088923
04/05/22, 378.7667, 384.29, 362.4333, 363.7533, 80075007.6778248
04/04/22, 363.1267, 383.3033, 357.51, 381.8167, 82177701.6168466
04/01/22, 360.3833, 364.9167, 355.5467, 361.53, 54263218.4263667
03/31/22, 364.8567, 367.7133, 358.8803, 359.20, 48992758.57921
03/30/22, 363.7233, 371.3167, 361.3333, 364.6633, 59864998.263915
03/29/22, 369.33, 371.59, 357.7033, 366.5233, 73614807.8651706
03/28/22, 355.0333, 365.96, 351.20, 363.9467, 102506061.027324
03/25/22, 336.00, 340.60, 332.4401, 336.88, 62031538.2010854
03/24/22, 336.5767, 341.4967, 329.60, 337.9733, 68920891.0012942
03/23/22, 326.6467, 346.90, 325.4667, 333.0367, 120676133.500392
03/22/22, 310.00, 332.62, 307.25, 331.3267, 105868556.929812
03/21/22, 304.9933, 314.2833, 302.3633, 307.0533, 81981660.6225318
03/18/22, 291.4967, 302.6167, 289.13, 301.7967, 100414191.087988
03/17/22, 276.9967, 291.6667, 275.2393, 290.5333, 66582958.0690942
03/16/22, 269.6667, 280.6667, 267.42, 280.0767, 84028818.5631643
03/15/22, 258.4233, 268.5233, 252.19, 267.2967, 66841141.0616069
03/14/22, 260.2033, 266.90, 252.0133, 255.4567, 71152257.9365845
03/11/22, 280.0657, 281.2673, 264.59, 265.1167, 67037161.0559223
03/10/22, 283.8167, 284.8167, 270.1201, 279.4333, 58648651.2991891
03/09/22, 279.8267, 286.8533, 277.3367, 286.3233, 59183968.2836649
03/08/22, 265.1767, 283.33, 260.7233, 274.80, 80399094.6684263
03/07/22, 285.4333, 288.7133, 268.19, 268.1934, 72494160.8976693
03/04/22, 283.0333, 285.2167, 275.0536, 279.43, 67179859.0517841
03/03/22, 292.9233, 295.4797, 277.5334, 279.7633, 61623508.2129183
03/02/22, 290.71, 295.4933, 281.424, 293.2967, 74643447.83534
03/01/22, 289.8933, 296.6267, 284.5933, 288.1234, 74766858.8317611
02/28/22, 271.67, 292.2867, 271.5692, 290.1433, 99006864.1288009
02/25/22, 269.7433, 273.1667, 260.8002, 269.9567, 76067757.794035
02/24/22, 233.4633, 267.4933, 233.3333, 266.9233, 135322298.075653
02/23/22, 276.81, 278.4332, 253.52, 254.68, 95257017.2375465
02/22/22, 278.0433, 285.5779, 267.0334, 273.8433, 83288184.5846426
02/18/22, 295.3333, 295.6234, 279.2033, 285.66, 68501845.0134465
02/17/22, 304.42, 306.1666, 291.3667, 292.1167, 55178431.3998255
02/16/22, 304.6833, 308.81, 300.4033, 307.7967, 51294391.5124626
02/15/22, 300.00, 307.6667, 297.7925, 307.4767, 57649528.3281637
02/14/22, 287.19, 299.6266, 284.3834, 291.92, 67756411.0350641
02/11/22, 303.21, 305.32, 283.5667, 286.6667, 79645854.6902702
02/10/22, 302.79, 314.6033, 298.90, 301.5167, 66126835.0823218
02/09/22, 311.6667, 315.4233, 306.6667, 310.6667, 52259548.4844731
02/08/22, 301.8433, 308.7633, 298.2667, 307.3333, 50729008.5288588
02/07/22, 307.93, 315.9233, 300.903, 302.4467, 60994468.2311604
02/04/22, 299.0733, 312.1667, 293.7233, 307.7733, 73625457.8648617
02/03/22, 294.00, 312.3333, 293.5067, 297.0467, 78855564.7131886
02/02/22, 309.3933, 310.50, 296.47, 301.8867, 66793048.0630016
02/01/22, 311.7367, 314.5667, 301.6667, 310.4167, 73138338.8789882
01/31/22, 290.9033, 312.6633, 287.35, 312.24, 104436089.971353
01/28/22, 277.1867, 285.8333, 264.0034, 282.1167, 134788940.091121
01/27/22, 311.12, 311.7967, 276.3333, 276.3667, 147109555.733823
01/26/22, 317.4767, 329.23, 302.00, 312.47, 104867282.958849
01/25/22, 304.7333, 317.0867, 301.07, 306.1334, 86595900.4887189
01/24/22, 301.5867, 311.171, 283.8233, 310.00, 152375128.581121
01/21/22, 332.1133, 334.85, 313.50, 314.6334, 103416021.000935
01/20/22, 336.5767, 347.22, 331.3333, 332.09, 70488741.9558265
01/19/22, 347.235, 351.5567, 331.6667, 331.8834, 75442497.8121676
01/18/22, 342.2017, 356.93, 338.6867, 343.5033, 66989401.0573074
01/14/22, 339.96, 350.6667, 337.793, 349.87, 72924420.8851918
01/13/22, 369.6883, 371.8667, 342.1797, 343.8533, 97209777.1809164
01/12/22, 359.6167, 371.6133, 357.53, 368.74, 83739021.5715684
01/11/22, 351.2233, 358.6167, 346.2733, 354.80, 66063208.084167
